Trade#,Date,Time,Side,Price,Amount,Value,Fee,RunningQty,RunningSpent,RunningReceived
1,2025-12-04,01:47,buy,93219.51,0.00009,8.3897559,0.008389755899999999,0.00009,8.3897559,0
2,2025-12-04,04:04,buy,93372.39,0.00019,17.7407541,0.017740754100000002,0.00028000000000000003,26.13051,0
3,2025-12-04,05:10,buy,93091.43,0.00018,16.7564574,0.016756457399999997,0.00046,42.8869674,0
4,2025-12-04,05:50,buy,92810.47,0.00017,15.7777799,0.0157777799,0.00063,58.6647473,0
5,2025-12-05,13:41,buy,90451.3,0.00017,15.376721000000002,0.015376721,0.0008,74.0414683,0
6,2025-12-05,16:07,buy,89559.3,0.00013,11.642709,0.011642709000000001,0.00093,85.6841773,0
7,2025-12-05,16:39,buy,88667.3,0.0001,8.86673,0.00886673,0.00103,94.5509073,0
8,2025-12-07,13:22,buy,88658.64,0.00015,13.298796,0.013298796,0.00118,107.8497033,0
9,2025-12-07,15:57,sell,89643.9,0.00016,14.343024,0.01434302,0.00102,107.8497033,14.343024
10,2025-12-07,17:16,sell,89972.32,0.00015,13.495848,0.01349585,0.0008700000000000001,107.8497033,27.838872000000002
11,2025-12-07,17:19,sell,90300.74,0.00013,11.7390962,0.0117391,0.0007400000000000001,107.8497033,39.5779682
12,2025-12-07,17:24,sell,90629.16,0.00012,10.8754992,0.0108755,0.0006200000000000001,107.8497033,50.4534674
13,2025-12-08,15:02,buy,90631.77,0.00011,9.9694947,0.009969494700000001,0.0007300000000000002,117.819198,50.4534674
14,2025-12-09,05:27,sell,89844.6,0.00007,6.289122,0.00628912,0.0006600000000000002,117.819198,56.7425894
15,2025-12-09,05:29,sell,89859.19,0.00007,6.2901432999999995,0.00629014,0.0005900000000000002,117.819198,63.0327327
16,2025-12-09,15:02,sell,91047.1,0.00017,15.478007000000002,0.01547801,0.00042000000000000023,117.819198,78.5107397
17,2025-12-09,15:41,sell,91902.68,0.00013,11.947348399999997,0.01194735,0.0002900000000000003,117.819198,90.4580881
