Trade#,Date,Time,Side,Price,Amount,Value,Fee,RunningQty,RunningSpent,RunningReceived
1,2025-12-31,15:12,buy,0.12223,118,14.42314,0.0000015315419,118,14.42314,0
2,2025-12-31,15:33,buy,0.12072,128,15.45216,0.00000162972,246,29.8753,0
3,2025-12-31,16:42,buy,0.11974,82,9.81868,0.0000010309614000000001,328,39.693979999999996,0
4,2025-12-31,16:42,buy,0.11877,82,9.73914,0.0000010226097,410,49.433119999999995,0
5,2025-12-31,16:42,buy,0.1178,83,9.7774,0.000001026038,493,59.210519999999995,0
6,2025-12-31,16:42,buy,0.11682,84,9.81288,0.0000010303524,577,69.0234,0
7,2025-12-31,20:05,buy,0.11684,154,17.99336,0.0000018297144,731,87.01675999999999,0
8,2026-01-01,08:58,sell,0.12035,150,18.0525,0.0000018919019999999999,581,87.01675999999999,18.0525
9,2026-01-01,15:31,sell,0.1213,94,11.4022,0.000001208148,487,87.01675999999999,29.4547
10,2026-01-01,15:41,sell,0.12226,94,11.49244,0.0000012262678,393,87.01675999999999,40.94714
11,2026-01-01,15:41,sell,0.12321,93,11.45853,0.0000012308679,300,87.01675999999999,52.40567
12,2026-01-01,15:46,sell,0.12417,92,11.42364,0.0000012367331999999999,208,87.01675999999999,63.82931
13,2026-01-01,15:46,sell,0.12512,91,11.38592,0.0000012424416,117,87.01675999999999,75.21523
14,2026-01-02,03:41,sell,0.12876,89,11.459640000000002,0.0000012785868000000001,28,87.01675999999999,86.67487000000001
