Trade#,Date,Time,Side,Price,Amount,Value,Fee,RunningQty,RunningSpent,RunningReceived
1,2025-12-12,15:26,buy,136.55,0.153,20.89215,0.02089215,0.153,20.89215,0
2,2025-12-12,15:34,buy,135.09,0.149,20.12841,0.02012841,0.302,41.02056,0
3,2025-12-12,15:58,buy,133.63,0.109,14.565669999999999,0.014565670000000001,0.411,55.58623,0
4,2025-12-12,16:21,buy,132.18,0.11,14.539800000000001,0.014539800000000002,0.521,70.12603,0
5,2025-12-12,19:45,buy,130.72,0.111,14.50992,0.01450992,0.632,84.63595,0
6,2025-12-13,17:10,buy,132.47,0.116,15.366520000000001,0.01536652,0.748,100.00246999999999,0
7,2025-12-13,21:31,buy,132.01,0.116,15.31316,0.01531316,0.864,115.31562999999998,0
8,2025-12-14,00:33,sell,133.49,0.115,15.351350000000002,0.01535135,0.749,115.31562999999998,15.351350000000002
9,2025-12-14,08:25,sell,133.49,0.084,11.213160000000002,0.01121316,0.665,115.31562999999998,26.564510000000006
10,2025-12-14,09:30,buy,132.42,0.084,11.12328,0.011123279999999998,0.7489999999999999,126.43890999999998,26.564510000000006
11,2025-12-14,10:13,buy,131.83,0.081,10.678230000000001,0.010678230000000002,0.8299999999999998,137.11713999999998,26.564510000000006
12,2025-12-14,10:14,buy,131.07,0.086,11.272019999999998,0.01127202,0.9159999999999999,148.38915999999998,26.564510000000006
13,2025-12-14,10:24,sell,132.12,0.086,11.362319999999999,0.01136232,0.83,148.38915999999998,37.92683
14,2025-12-14,11:38,buy,131.06,0.086,11.27116,0.01127116,0.916,159.66031999999998,37.92683
15,2025-12-14,11:44,buy,130.48,0.058,7.5678399999999995,0.007567839999999999,0.9740000000000001,167.22815999999997,37.92683
16,2025-12-14,12:19,sell,131.76,0.08,10.540799999999999,0.0105408,0.8940000000000001,167.22815999999997,48.46763
17,2025-12-14,17:13,buy,130.08,0.083,10.796640000000002,0.010796640000000001,0.9770000000000001,178.02479999999997,48.46763
18,2025-12-14,23:27,buy,129.14,0.058,7.490119999999999,0.007490119999999999,1.0350000000000001,185.51491999999996,48.46763
19,2025-12-14,23:32,buy,128.79,0.058,7.46982,0.007469819999999999,1.0930000000000002,192.98473999999996,48.46763
20,2025-12-15,02:18,sell,132.68,0.081,10.74708,0.01074708,1.012,192.98473999999996,59.21471
21,2025-12-15,14:15,sell,133.97,0.056,7.50232,0.00750232,0.9560000000000001,192.98473999999996,66.71703
22,2025-12-15,14:16,sell,134.51,0.08,10.7608,0.0107608,0.8760000000000001,192.98473999999996,77.47783
23,2025-12-15,14:16,sell,135.27,0.055,7.439850000000001,0.00743985,0.8210000000000001,192.98473999999996,84.91768
24,2025-12-15,15:20,buy,127.8,0.059,7.5402,0.0075401999999999995,0.88,200.52493999999996,84.91768
25,2025-12-15,15:20,buy,127.49,0.059,7.521909999999999,0.00752191,0.939,208.04684999999995,84.91768
26,2025-12-15,15:57,buy,126.45,0.06,7.587,0.007587,0.999,215.63384999999994,84.91768
27,2025-12-15,16:12,buy,126.2,0.059,7.4458,0.0074458,1.0579999999999998,223.07964999999993,84.91768
28,2025-12-15,17:51,buy,125.11,0.06,7.5066,0.0075066,1.1179999999999999,230.58624999999992,84.91768
29,2025-12-15,17:51,buy,124.9,0.06,7.494,0.007494000000000001,1.178,238.08024999999992,84.91768
30,2025-12-15,18:35,buy,123.77,0.061,7.549969999999999,0.00754997,1.2389999999999999,245.63021999999992,84.91768
31,2025-12-16,10:35,sell,127.06,0.127,16.13662,0.01613662,1.112,245.63021999999992,101.05430000000001
32,2025-12-16,10:43,sell,128.42,0.092,11.814639999999999,0.01181464,1.02,245.63021999999992,112.86894000000001
33,2025-12-16,13:30,sell,129.78,0.091,11.80998,0.01180998,0.929,245.63021999999992,124.67892
34,2025-12-17,16:32,buy,124.87,0.095,11.86265,0.01186265,1.024,257.4928699999999,124.67892
35,2025-12-18,13:43,sell,126.33,0.082,10.35906,0.01035906,0.942,257.4928699999999,135.03798
36,2025-12-18,15:30,sell,128.75,0.08,10.3,0.0103,0.8619999999999999,257.4928699999999,145.33798000000002
37,2025-12-18,17:23,buy,121.49,0.085,10.32665,0.01032665,0.9469999999999998,267.8195199999999,145.33798000000002
38,2025-12-18,18:14,sell,123.86,0.085,10.5281,0.0105281,0.8619999999999999,267.8195199999999,155.86608
39,2025-12-18,19:37,buy,119.07,0.087,10.359089999999998,0.01035909,0.9490000000000001,278.1786099999999,155.86608
40,2025-12-21,01:58,buy,125.08,0.167,20.888360000000002,0.020888359999999998,1.1159999999999999,299.06696999999986,155.86608
41,2025-12-21,13:30,buy,123.89,0.115,14.24735,0.01424735,1.231,313.31431999999984,155.86608
42,2025-12-21,15:53,sell,125.07,0.122,15.258539999999998,0.01525854,1.109,313.31431999999984,171.12462000000002
43,2025-12-21,17:16,sell,126.23,0.121,15.27383,0.01527383,0.988,313.31431999999984,186.39845000000003
44,2025-12-22,00:14,sell,127.48,0.083,10.58084,0.01058084,0.905,313.31431999999984,196.97929000000002
45,2025-12-22,00:15,sell,128.48,0.226,29.036479999999997,0.02903648,0.679,313.31431999999984,226.01577000000003
46,2025-12-22,00:20,buy,126.82,0.229,29.04178,0.02904178,0.9080000000000001,342.35609999999986,226.01577000000003
47,2025-12-22,02:05,buy,125.63,0.204,25.628519999999998,0.02562852,1.1120000000000003,367.98461999999984,226.01577000000003
48,2025-12-22,02:05,buy,124.91,0.157,19.61087,0.01961087,1.2690000000000003,387.5954899999998,226.01577000000003
49,2025-12-22,08:21,sell,127.18,0.217,27.59806,0.02759806,1.0520000000000003,387.5954899999998,253.61383000000004
50,2025-12-22,08:51,buy,126.21,0.217,27.38757,0.027387569999999997,1.2690000000000003,414.9830599999998,253.61383000000004
51,2025-12-22,15:10,sell,128.75,0.215,27.68125,0.02768125,1.0540000000000003,414.9830599999998,281.29508000000004
52,2025-12-22,15:36,buy,126.77,0.218,27.635859999999997,0.02763586,1.2720000000000002,442.6189199999998,281.29508000000004
53,2025-12-22,15:55,sell,127.76,0.218,27.85168,0.02785168,1.0540000000000003,442.6189199999998,309.14676000000003
54,2025-12-22,17:06,buy,126.77,0.218,27.635859999999997,0.02763586,1.2720000000000002,470.25477999999976,309.14676000000003
55,2025-12-22,19:07,buy,125.77,0.143,17.98511,0.01798511,1.415,488.2398899999998,309.14676000000003
56,2025-12-22,19:51,buy,124.78,0.14,17.4692,0.017469199999999997,1.5550000000000002,505.7090899999998,309.14676000000003
57,2025-12-23,03:04,buy,125.41,0.081,10.15821,0.01015821,1.6360000000000006,515.8672999999998,309.14676000000003
